"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"marker","abstract","51","5","50","0.4811320754716981","0.6496815286624205","0.9107142857142856","0.504950495049505","0.47209089981707403","0.46733313161646295","0.46273797836612385","0.45470549800051435","0.986083625564045","0.47443646135628587","0.08928571428571429","0.49504950495049505","0.5188679245283019"
"marker","affiliation","44","42","360","0.09865470852017932","0.1795918367346939","0.5116279069767442","0.10891089108910891","0.0849827028455529","0.08335805333254816","0.08190745394252666","0.08104015194591221","0.9361803548149997","0.09235860002659191","0.4883720930232558","0.8910891089108911","0.9013452914798207"
"marker","author","222","65","111","0.5577889447236181","0.7161290322580646","0.7735191637630662","0.6666666666666666","0.4092546063651591","0.3337939698492462","0.31679229480737015","0.285544458635078","0.9384627762773691","0.5228650089379361","0.2264808362369338","0.3333333333333333","0.44221105527638194"
"marker","caption","814","36","63","0.891566265060241","0.9426751592356686","0.9576470588235294","0.928164196123147","0.7913313095847432","0.7583701838124182","0.7268291458966192","0.7340141335462297","0.9715048425405679","0.8661609439518316","0.042352941176470586","0.07183580387685291","0.10843373493975904"
"marker","email","83","5","104","0.43229166666666663","0.6036363636363636","0.9431818181818182","0.44385026737967914","0.4114583333333333","0.4114583333333333","0.4114583333333333","0.4114583333333333","0.9904551390541552","0.4281655028202858","0.056818181818181816","0.5561497326203209","0.5677083333333334"
"marker","equation","1984","1343","1337","0.42538593481989706","0.5968712394705175","0.5963330327622482","0.59741041854863","0.08029716318333564","0.032973393289964695","0.01673114703867239","0.02593663007788106","0.7958504675607474","0.33844083947313874","0.40366696723775175","0.4025895814513701","0.5746140651801029"
"marker","header","0","0","170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"marker","list","78","125","166","0.21138211382113825","0.348993288590604","0.3842364532019704","0.319672131147541","0.16253133399409622","0.145657318147899","0.13167643775251833","0.1256620748286244","0.8851553633963503","0.18710601177483827","0.6157635467980296","0.680327868852459","0.7886178861788617"
"marker","reference","3217","156","601","0.8095118268746855","0.8947295230148797","0.9537503705899792","0.8425877422734416","0.7094245716313627","0.6705538588065851","0.6351483914814937","0.6497378962104802","0.9758095102198675","0.7899293392997769","0.046249629410020754","0.1574122577265584","0.19048817312531455"
"marker","section","1504","332","23","0.8090371167294244","0.894439488551888","0.8191721132897604","0.9849377865094957","0.7827664662454873","0.7748191576799621","0.7687622535255672","0.7646510140102728","0.9917612294862789","0.8023716455876081","0.18082788671023964","0.015062213490504257","0.1909628832705756"
"marker","table","221","49","32","0.7317880794701987","0.8451242829827915","0.8185185185185185","0.8735177865612647","0.6136641119786337","0.5401152486430204","0.5016309518726968","0.5148981624832207","0.942877095649035","0.6899862190014462","0.1814814814814815","0.12648221343873517","0.2682119205298013"
"marker","title","99","2","2","0.9611650485436893","0.9801980198019802","0.9801980198019802","0.9801980198019802","0.9361909126472233","0.925990675990676","0.9125295955393044","0.9121714995625241","0.992170766483811","0.9536398629310416","0.019801980198019802","0.019801980198019802","0.038834951456310676"
