"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"olmocr","abstract","46","38","55","0.3309352517985612","0.4972972972972974","0.5476190476190477","0.45544554455445546","0.30344629754929975","0.29789360968911244","0.2939946838743469","0.29138961530059926","0.9416512980617936","0.31162560943052164","0.4523809523809524","0.5445544554455446","0.6690647482014388"
"olmocr","affiliation","0","0","404","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"olmocr","author","55","593","278","0.05939524838012955","0.11213047910295618","0.08487654320987655","0.16516516516516516","0.05723542116630669","0.05579553635709143","0.05579553635709143","0.05584100177232477","0.9860231937967688","0.05856509250412774","0.9151234567901234","0.8348348348348348","0.9406047516198704"
"olmocr","caption","299","9","578","0.33747178329571104","0.5046413502109705","0.9707792207792207","0.3409350057012543","0.2830170516330164","0.26573056979028953","0.25295832442345345","0.25890726480599596","0.9553602607016142","0.32240713086882916","0.02922077922077922","0.6590649942987458","0.662528216704289"
"olmocr","email","0","0","187","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"olmocr","equation","458","2975","2863","0.07274459974587044","0.13562333432040274","0.13341101077774542","0.1379102679915688","0.027608488573795355","0.01519224629949452","0.008511617351867036","0.011007839801383082","0.7931245666815534","0.05768073808346092","0.8665889892222546","0.8620897320084312","0.9272554002541296"
"olmocr","footer","0","0","344","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"olmocr","header","0","0","170","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"olmocr","keyword","0","0","250","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"olmocr","list","0","0","244","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"olmocr","pub_date","0","0","29","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"olmocr","reference","0","0","3818","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"olmocr","section","654","385","873","0.34205020920502094","0.509742790335152","0.629451395572666","0.4282907662082514","0.3328469174669076","0.3287617731524636","0.32671441829699277","0.32771746570641375","0.9929057997948039","0.3396236365406913","0.37054860442733395","0.5717092337917485","0.6579497907949791"
"olmocr","table","0","0","253","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","1.0"
"olmocr","title","100","1","1","0.9803921568627451","0.9900990099009901","0.9900990099009901","0.9900990099009901","0.9547373764866025","0.9442450079446985","0.9310118754755433","0.919474760090098","0.985143006554276","0.9658264770139962","0.009900990099009901","0.009900990099009901","0.0196078431372549"
