"tool","label","tp_alignment","fp_alignment","fn_alignment","accuracy","avg_f1_all","avg_precision_alignment","avg_recall_alignment","avg_rouge1_recall_alignment","avg_rouge2_recall_alignment","avg_rouge3_recall_alignment","avg_bleu_score_alignment","avg_lev_ratio_non_zero","avg_lev_ratio_alignment","false_discovery_rate","miss_rate","alignment_error_rate"
"mineru","abstract","87","32","9","0.6796875","0.8093023255813953","0.7310924369747899","0.90625","0.638155449414686","0.6209379984718247","0.6048714958115372","0.5963547440620542","0.9743579789821378","0.6622589388394218","0.2689075630252101","0.09375","0.3203125"
"mineru","affiliation","125","52","265","0.2828054298642534","0.44091710758377434","0.7062146892655368","0.32051282051282054","0.26238483606309276","0.256233929986259","0.24921990943119926","0.23865409023517523","0.9534276754797959","0.26963452360853957","0.2937853107344633","0.6794871794871795","0.7171945701357466"
"mineru","author","227","36","95","0.6340782122905029","0.7760683760683762","0.8631178707224335","0.7049689440993789","0.5963687150837989","0.577048417132216","0.5698324022346368","0.5725867686422903","0.9847278968074755","0.6243945044002708","0.13688212927756654","0.2950310559006211","0.3659217877094972"
"mineru","caption","709","112","141","0.737006237006237","0.8485936564931179","0.8635809987819733","0.8341176470588235","0.5270530561726716","0.48465069906016905","0.4502176323763259","0.45860795256150755","0.9076190845669889","0.6687051058975345","0.1364190012180268","0.16588235294117648","0.262993762993763"
"mineru","email","142","1","40","0.7759562841530054","0.8738461538461538","0.9930069930069931","0.7802197802197801","0.7540983606557377","0.7540983606557377","0.7540983606557377","0.7540983606557377","0.995732180711021","0.7726446429560928","0.006993006993006993","0.21978021978021978","0.22404371584699453"
"mineru","equation","2203","897","836","0.5597052845528455","0.7177064668512787","0.7106451612903226","0.7249095097071405","0.11587393828228541","0.05735441620645687","0.03191066409498296","0.04323006453190905","0.7987248961625667","0.4469000500175709","0.28935483870967743","0.2750904902928595","0.4402947154471545"
"mineru","footer","223","13","116","0.6335227272727273","0.7756521739130434","0.9449152542372882","0.6578171091445427","0.5702627935412983","0.5449216322203663","0.5248289171525308","0.5298900504335644","0.9749723910762557","0.6176671682102415","0.05508474576271186","0.3421828908554572","0.3664772727272727"
"mineru","header","151","39","4","0.7783505154639175","0.8753623188405798","0.7947368421052632","0.9741935483870968","0.7350823861133139","0.7002620635883219","0.6867943053510064","0.6960166328288262","0.9840352497824236","0.7659243439028143","0.20526315789473684","0.025806451612903226","0.22164948453608246"
"mineru","keyword","122","14","119","0.4784313725490196","0.6472148541114059","0.8970588235294118","0.5062240663900415","0.426797385620915","0.39960784313725495","0.39705882352941174","0.4075751711227709","0.9920565743131721","0.47463098849492935","0.10294117647058823","0.49377593360995853","0.5215686274509804"
"mineru","list","63","70","181","0.2006369426751592","0.3342175066312997","0.47368421052631576","0.2581967213114754","0.13146591707747685","0.10946220249308508","0.09276242303483256","0.09528217659759777","0.8797173113263191","0.1765037917629239","0.5263157894736842","0.7418032786885246","0.7993630573248408"
"mineru","pub_date","21","8","7","0.5833333333333333","0.736842105263158","0.7241379310344828","0.75","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5833333333333334","1.0","0.5833333333333334","0.27586206896551724","0.25","0.4166666666666667"
"mineru","reference","3308","43","299","0.9063013698630137","0.9508479448117274","0.9871680095493882","0.9171056279456612","0.8267970083306256","0.8011482473378293","0.7763500228696374","0.7848826414378895","0.9775864140101719","0.88598790617689","0.012831990450611758","0.08289437205433879","0.0936986301369863"
"mineru","section","1383","129","64","0.8775380710659898","0.9347752619128082","0.9146825396825397","0.9557705597788528","0.8422249514030643","0.8290432655380559","0.8189537144327753","0.8154755860014937","0.9907588734909732","0.8694286307347817","0.08531746031746032","0.0442294402211472","0.12246192893401016"
"mineru","table","207","65","40","0.6634615384615384","0.7976878612716763","0.7610294117647058","0.8380566801619432","0.36632139275029796","0.24630824200933404","0.1912661623716382","0.20031344378079882","0.8667268494799389","0.5750399289818825","0.23897058823529413","0.16194331983805668","0.33653846153846156"
"mineru","title","96","0","0","1.0","1.0","1.0","1.0","0.9703240829159947","0.9506465322871573","0.9304003866503866","0.932462932502689","0.9929218131617986","0.9929218131617986","0.0","0.0","0.0"
